epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1931.54,2.06495,3.28358,1.01974,0.74221,0.16698,0.17472,0.06605,2.51963,6.17833,1.11351,0.000332468,0.000332468,0.000332468
2,3855.43,1.59043,1.47784,0.91939,0.72027,0.24604,0.27667,0.11802,2.36611,3.26729,1.06965,0.000632844,0.000632844,0.000632844
3,5645.64,1.47341,1.01432,0.90513,0.44659,0.22476,0.22183,0.08076,2.7464,3.20942,1.14273,0.00090022,0.00090022,0.00090022
4,7360.64,1.39469,0.84023,0.89296,0.33582,0.22405,0.2182,0.10345,2.29051,2.6013,1.08452,0.0008515,0.0008515,0.0008515
5,9041.01,1.33661,0.75847,0.88324,0.68411,0.24681,0.27932,0.12416,2.32836,2.47332,1.07932,0.000802,0.000802,0.000802
6,10722.3,1.2869,0.71808,0.87736,0.40906,0.30605,0.32143,0.1237,2.3908,1.70562,1.08686,0.0007525,0.0007525,0.0007525
7,12406.2,1.23952,0.67796,0.87052,0.4063,0.29935,0.31333,0.12942,2.32959,1.61303,1.07605,0.000703,0.000703,0.000703
8,14088.6,1.19706,0.64355,0.86433,0.27059,0.29189,0.29238,0.12467,2.54819,1.90525,1.15948,0.0006535,0.0006535,0.0006535
9,15773.9,1.15737,0.61174,0.86241,0.70092,0.25872,0.29259,0.13778,2.29559,1.91487,1.07848,0.000604,0.000604,0.000604
10,17467.3,1.14291,0.59312,0.85661,0.54924,0.27262,0.28171,0.13173,2.35408,1.9274,1.10859,0.0005545,0.0005545,0.0005545
11,19123.7,1.08536,0.57421,0.86501,0.40986,0.30749,0.31892,0.13921,2.4048,1.87028,1.11797,0.000505,0.000505,0.000505
12,20778.8,1.05606,0.55463,0.85619,0.49991,0.32175,0.30218,0.13486,2.3643,1.7447,1.10344,0.0004555,0.0004555,0.0004555
13,22437,1.01977,0.52675,0.85029,0.52823,0.29538,0.31627,0.13767,2.55216,2.10903,1.17959,0.000406,0.000406,0.000406
14,24095.6,0.99506,0.51427,0.84953,0.6008,0.37822,0.38043,0.17335,2.17513,1.44753,1.09227,0.0003565,0.0003565,0.0003565
15,25760.8,0.96473,0.49861,0.8432,0.57855,0.30783,0.33027,0.15079,2.35634,1.95051,1.10959,0.000307,0.000307,0.000307
16,27421.3,0.93696,0.4855,0.84262,0.60137,0.34328,0.34568,0.15335,2.31656,1.70128,1.10117,0.0002575,0.0002575,0.0002575
17,29084.1,0.92251,0.47257,0.83705,0.57421,0.35068,0.34509,0.15035,2.4039,1.78221,1.12364,0.000208,0.000208,0.000208
18,30745.7,0.89894,0.45592,0.83767,0.58128,0.33995,0.34279,0.1514,2.39426,1.69455,1.12911,0.0001585,0.0001585,0.0001585
19,32404.3,0.8774,0.44194,0.83374,0.58419,0.34531,0.359,0.16122,2.41341,1.70648,1.14209,0.000109,0.000109,0.000109
20,34065.3,0.85639,0.42822,0.83064,0.58759,0.34489,0.35621,0.15781,2.36354,1.79186,1.12398,5.95e-05,5.95e-05,5.95e-05
