epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,581.988,2.39889,3.50818,0.93169,0.88321,0.09289,0.09902,0.04223,2.94045,5.98199,0.89193,0.000332468,0.000332468,0.000332468
2,1164.2,1.95268,1.69991,0.85657,0.53174,0.11194,0.1184,0.05033,2.73165,3.48918,0.87057,0.000599887,0.000599887,0.000599887
3,1757.91,1.85174,1.2082,0.84521,0.44991,0.11665,0.12268,0.05588,2.79077,2.36115,0.87958,0.000801306,0.000801306,0.000801306
4,2339.16,1.70803,0.99117,0.83747,0.73049,0.12112,0.14037,0.06894,2.62382,2.01971,0.86748,0.000703,0.000703,0.000703
5,2930.03,1.57122,0.85168,0.8294,0.67845,0.11878,0.14883,0.06883,2.71299,2.33514,0.87092,0.000604,0.000604,0.000604
6,3499.22,1.5339,0.79778,0.82771,0.6143,0.13125,0.1515,0.07055,2.59275,2.19091,0.86048,0.000505,0.000505,0.000505
7,4046.26,1.41151,0.72378,0.82175,0.58866,0.12803,0.15758,0.07697,2.71349,2.21739,0.86459,0.000406,0.000406,0.000406
8,4583.38,1.35609,0.68005,0.81387,0.60568,0.13637,0.16261,0.07113,2.75141,1.89526,0.87319,0.000307,0.000307,0.000307
9,5118.72,1.2995,0.63891,0.81128,0.4514,0.14483,0.17729,0.08475,2.6371,2.12004,0.85717,0.000208,0.000208,0.000208
10,5659.09,1.23316,0.6102,0.80785,0.61498,0.13301,0.17874,0.0853,2.71265,2.19937,0.85681,0.000109,0.000109,0.000109
